model_id,text_edit_norm_macro,text_edit_norm_micro,text_meteor_macro,text_classification_macro_f1,text_classification_micro_f1,table_macro_precision,table_macro_recall,table_macro_f1,table_micro_precision,table_micro_recall,table_micro_f1,table_teds_mean_on_matched,table_teds_applicability,image_macro_precision,image_macro_recall,image_macro_f1,image_micro_precision,image_micro_recall,image_micro_f1,image_desc_cosine_mean_on_matched,image_desc_applicability,lists_f1,headers_f1,paras_f1,heading_parent_acc_macro,heading_parent_acc_micro,heading_edge_f1_macro,heading_edge_f1_micro
dpsk-ocr-Gundam,0.6450686049203581,0.6450686049203581,0.4792229204154531,0.7094436781609196,0.7490566037735849,0.8410748939074062,0.5522438345967758,0.5837249327022596,0.8410748939074062,0.5522438345967758,0.5837249327022596,0.68957676744653,0.7619047619047619,0.6111111111111112,0.3047619047619048,0.3046176046176046,0.6111111111111112,0.3047619047619048,0.3046176046176046,0.0,0.38095238095238093,0.7310344827586207,0.6068965517241379,0.7904,,0.5681818181818182,,0.5333333333333333
qwen__qwen3-vl-30b-a3b-instruct,0.64174424601987,0.64174424601987,0.6577161356341439,0.7758490346931333,0.7880116959064327,0.7149659863945578,0.38466217877982584,0.3908060193774479,0.7149659863945578,0.38466217877982584,0.3908060193774479,0.5879974374315059,0.5238095238095238,0.9285714285714286,0.3136582219094534,0.36400875110552533,0.9285714285714286,0.3136582219094534,0.36400875110552533,0.26270933042873035,0.5238095238095238,0.8653421633554084,0.670886075949367,0.7913188647746244,,0.6981132075471698,,0.6799999999999999
baidu__ernie-4_5-vl-28b-a3b,0.7517786349928466,0.7517786349928466,0.418027880446387,0.74906124291073,0.7652329749103943,0.467480931766646,0.2774214891861951,0.309997773843175,0.467480931766646,0.2774214891861951,0.309997773843175,0.6527558901951508,0.5238095238095238,0.04839968774395004,0.09688013136288998,0.0010582010582010583,0.04839968774395004,0.09688013136288998,0.0010582010582010583,0.611970067024231,0.047619047619047616,0.8247422680412371,0.6519823788546255,0.7704590818363274,,0.5675675675675675,,0.49180327868852464
mistralai__ministral-14b-2512,0.6833008194371158,0.6833008194371158,0.6259272708980468,0.8196164654059391,0.8393632416787264,0.5995231745683826,0.530154050742286,0.550704890242725,0.5995231745683826,0.530154050742286,0.550704890242725,0.6398779123612139,0.7619047619047619,0.25,0.11111111111111112,0.06122448979591837,0.25,0.11111111111111112,0.06122448979591837,0.8314592242240906,0.047619047619047616,0.896842105263158,0.7071428571428571,0.8548644338118022,,0.7373737373737373,,0.7326732673267328
pp_v3,0.7439009317301265,0.7439009317301265,0.2682997002242007,0.5691491916379473,0.6264822134387352,0.6294887652030509,0.41942251648134,0.46039613020673265,0.6294887652030509,0.41942251648134,0.46039613020673265,0.600065188284537,0.6666666666666666,0.2976190476190476,0.10714285714285714,0.10714285714285714,0.2976190476190476,0.10714285714285714,0.10714285714285714,0.6191235184669495,0.047619047619047616,0.3448275862068966,0.6545454545454545,0.7080745341614907,,0.42592592592592593,,0.22222222222222224
mineru_ppl,0.6209698289275141,0.6209698289275141,0.37016886037087177,0.7105573710965868,0.7364532019704433,0.5750040083373417,0.4857420357420357,0.5104789407671437,0.5750040083373417,0.4857420357420357,0.5104789407671437,0.6267124911337483,0.7619047619047619,0.7346938775510204,0.2960864805692392,0.299546485260771,0.7346938775510204,0.2960864805692392,0.299546485260771,0.5764851489414772,0.38095238095238093,0.611764705882353,0.7407407407407407,0.7791666666666667,,0.5,,
olmocr,0.6119942222654631,0.6119942222654631,0.4329550225530322,0.5321966619332162,0.7086776859504132,0.6982193732193732,0.5123672623672624,0.5520524449095878,0.6982193732193732,0.5123672623672624,0.5520524449095878,0.7547894361607538,0.7142857142857143,1.0,0.09523809523809523,0.09523809523809523,1.0,0.09523809523809523,0.09523809523809523,,0.0,0.8014440433212996,0.021276595744680847,0.7738693467336685,,1.0,,
hy_ocr,0.6029765881017051,0.6029765881017051,0.5358756495613493,0.7063915689838138,0.7371048252911814,0.8021065178208036,0.6192740810387869,0.6512963370833853,0.8021065178208036,0.6192740810387869,0.6512963370833853,0.567643996710715,0.7619047619047619,1.0,0.09523809523809523,0.09523809523809523,1.0,0.09523809523809523,0.09523809523809523,,0.0,0.6147859922178989,0.7181818181818184,0.786206896551724,,0.6835443037974683,,0.5454545454545455
dpsk-ocr-Large,0.6854209996044096,0.6854209996044096,0.4110309483855494,0.6771618290503483,0.7195876288659795,0.7786935286935287,0.4392541010188069,0.4724739708448982,0.7786935286935287,0.4392541010188069,0.4724739708448982,0.7380883745804668,0.6190476190476191,0.7071428571428571,0.2867307842677301,0.29305693603606314,0.7071428571428571,0.2867307842677301,0.29305693603606314,0.0,0.47619047619047616,0.6311111111111112,0.625,0.7753743760399334,,0.5777777777777777,,0.5384615384615384
docling_ppl,0.836687356413504,0.836687356413504,0.34860214855795146,0.80753706419029,0.8169934640522877,0.7904761904761906,0.27734487734487734,0.31020408163265306,0.7904761904761906,0.27734487734487734,0.31020408163265306,0.5719040742010091,0.38095238095238093,0.19047619047619047,0.09523809523809523,0.09523809523809523,0.19047619047619047,0.09523809523809523,0.09523809523809523,,0.0,0.8020833333333334,0.7818181818181817,0.8387096774193549,,0.4418604651162791,,
z-ai__glm-4_6v,0.8009809911785168,0.8009809911785168,0.3976505783191521,0.7818001691317552,0.794392523364486,0.37544302675881625,0.33029084205554793,0.3189057395742317,0.37544302675881625,0.33029084205554793,0.3189057395742317,0.591315865139351,0.6190476190476191,0.613567649281935,0.3568574556259285,0.3908103592314119,0.613567649281935,0.3568574556259285,0.3908103592314119,0.7901969276941739,0.6190476190476191,0.8771929824561404,0.6982758620689656,0.7699316628701595,,0.5802469135802469,,0.5384615384615384
